signal_threshold,rsi_overbought,rsi_oversold,accuracy,edge_pct,correct,total_tested,n_bullish,n_bearish,n_neutral,n_signals,signal_rate
0.4,75,25,0.44,-6.0,66,150,146,4,180,150,0.45454545454545453
0.1,80,25,0.4398496240601504,-6.015037593984962,117,266,240,26,64,266,0.806060606060606
0.1,80,30,0.4398496240601504,-6.015037593984962,117,266,240,26,64,266,0.806060606060606
0.1,80,20,0.4398496240601504,-6.015037593984962,117,266,240,26,64,266,0.806060606060606
0.25,70,20,0.43902439024390244,-6.097560975609756,72,164,153,11,166,164,0.49696969696969695
0.25,70,25,0.43902439024390244,-6.097560975609756,72,164,153,11,166,164,0.49696969696969695
0.25,70,30,0.43902439024390244,-6.097560975609756,72,164,153,11,166,164,0.49696969696969695
0.25,75,25,0.43783783783783786,-6.216216216216214,81,185,174,11,145,185,0.5606060606060606
0.25,75,30,0.43783783783783786,-6.216216216216214,81,185,174,11,145,185,0.5606060606060606
0.25,75,20,0.43783783783783786,-6.216216216216214,81,185,174,11,145,185,0.5606060606060606
0.15,75,35,0.4366812227074236,-6.33187772925764,100,229,214,15,101,229,0.693939393939394
0.4,75,35,0.436241610738255,-6.375838926174499,65,149,146,3,181,149,0.45151515151515154
0.25,80,30,0.4358974358974359,-6.41025641025641,85,195,184,11,135,195,0.5909090909090909
0.25,80,20,0.4358974358974359,-6.41025641025641,85,195,184,11,135,195,0.5909090909090909
0.25,80,25,0.4358974358974359,-6.41025641025641,85,195,184,11,135,195,0.5909090909090909
0.4,80,30,0.4358974358974359,-6.41025641025641,68,156,152,4,174,156,0.4727272727272727
0.4,80,25,0.4358974358974359,-6.41025641025641,68,156,152,4,174,156,0.4727272727272727
0.4,80,20,0.4358974358974359,-6.41025641025641,68,156,152,4,174,156,0.4727272727272727
0.1,65,35,0.43564356435643564,-6.435643564356436,88,202,181,21,128,202,0.6121212121212121
0.2,65,30,0.43529411764705883,-6.470588235294117,74,170,158,12,160,170,0.5151515151515151
0.2,65,20,0.43529411764705883,-6.470588235294117,74,170,158,12,160,170,0.5151515151515151
0.2,65,25,0.43529411764705883,-6.470588235294117,74,170,158,12,160,170,0.5151515151515151
0.15,65,20,0.4336734693877551,-6.632653061224492,85,196,177,19,134,196,0.593939393939394
0.15,65,30,0.4336734693877551,-6.632653061224492,85,196,177,19,134,196,0.593939393939394
0.15,65,25,0.4336734693877551,-6.632653061224492,85,196,177,19,134,196,0.593939393939394
0.3,80,20,0.43333333333333335,-6.666666666666665,78,180,170,10,150,180,0.5454545454545454
0.3,80,30,0.43333333333333335,-6.666666666666665,78,180,170,10,150,180,0.5454545454545454
