date,state,regime,confidence,prob_bear,prob_bull,prob_high-volatility,prob_low-volatility
2025-04-04,0,bear,0.9999999999997726,0.9999999999997726,1.0836813138606748e-106,1.191840828844739e-13,0.0
2025-04-05,0,bear,0.9999999964682047,0.9999999964682047,1.655758614038832e-98,3.5317987642305656e-09,0.0
2025-04-06,0,bear,0.9999999967092208,0.9999999967092208,1.7224348031755452e-101,3.2907530947691904e-09,0.0
2025-04-07,0,bear,0.9999999982876489,0.9999999982876489,2.803044991081426e-137,1.7124326347119556e-09,0.0
2025-04-08,0,bear,1.0,1.0,3.7158560321887165e-91,6.209417780998787e-43,0.0
2025-04-09,3,low-volatility,1.0,6.342118487850251e-46,2.80771097913722e-71,2.0678604042114895e-54,1.0
2025-04-10,1,bull,1.0,1.2992183922841304e-72,1.0,1.417658113529928e-43,0.0
2025-04-11,1,bull,1.0,4.045574711722589e-87,1.0,6.31660308288915e-50,0.0
2025-04-12,1,bull,1.0,3.5820196911460886e-100,1.0,1.0587648493286006e-51,0.0
2025-04-13,1,bull,1.0,2.4064690418175942e-104,1.0,6.5045862758544325e-53,0.0
2025-04-14,1,bull,1.0,2.392935876843814e-107,1.0,7.923294244406639e-56,0.0
2025-04-15,1,bull,1.0,1.857147606460385e-112,1.0,3.866737086483405e-55,0.0
2025-04-16,1,bull,1.0,1.0225959037924257e-115,1.0,7.944679447557256e-54,0.0
2025-04-17,1,bull,1.0,1.332476523825444e-109,1.0,7.465669463295816e-56,0.0
2025-04-18,1,bull,1.0,1.191561811365872e-111,1.0,7.039615211633976e-54,0.0
2025-04-19,1,bull,1.0,3.6713283611662744e-105,1.0,3.187458227575398e-52,0.0
2025-04-20,1,bull,1.0,3.2594653090549556e-95,1.0,1.5790240101910166e-58,0.0
2025-04-21,1,bull,1.0,1.3469543383946293e-97,1.0,1.4285973770678775e-58,0.0
2025-04-22,1,bull,1.0,4.1167725278241754e-88,1.0,1.5909243077303143e-55,0.0
2025-04-23,1,bull,1.0,1.510400563353628e-79,1.0,5.8527057106725795e-49,0.0
2025-04-24,1,bull,1.0,6.594049339262732e-70,1.0,6.682546501543305e-42,0.0
2025-04-25,1,bull,1.0,7.725293970699763e-63,1.0,2.4946264115293218e-39,0.0
2025-04-26,1,bull,1.0,1.4205641709358531e-52,1.0,3.7195264065619487e-38,0.0
2025-04-27,1,bull,1.0,2.1232376382229483e-38,1.0,8.412871227238324e-26,0.0
2025-04-28,1,bull,1.0,8.412871227223021e-26,1.0,1.3091611795750738e-43,0.0
2025-04-29,3,low-volatility,0.9999999999954525,4.9258861732206206e-48,4.616645083845005e-12,2.016996071800956e-33,0.9999999999954525
2025-04-30,1,bull,1.0,2.7380677107649743e-44,1.0,2.111390777994223e-29,0.0
2025-05-01,1,bull,1.0,2.761025301199163e-48,1.0,4.49498942321148e-34,0.0
2025-05-02,1,bull,1.0,5.024232347516157e-58,1.0,1.1038093143592533e-34,0.0
2025-05-03,1,bull,1.0,9.037749826810648e-64,1.0,1.9772834191803643e-35,0.0
2025-05-04,1,bull,1.0,7.55219320268831e-68,1.0,5.2132176250586785e-37,0.0
2025-05-05,1,bull,1.0,1.5569244096555048e-72,1.0,5.557925867464281e-38,0.0
2025-05-06,1,bull,1.0,1.2070523017231164e-76,1.0,9.071319362352976e-39,0.0
2025-05-07,1,bull,1.0,6.341083040971032e-77,1.0,1.2893157488608374e-39,0.0
2025-05-08,1,bull,1.0,2.280970987169785e-78,1.0,1.33541053086635e-38,0.0
2025-05-09,1,bull,1.0,1.09849614222873e-75,1.0,3.973468025018718e-37,0.0
2025-05-10,1,bull,1.0,1.0201960208279567e-47,1.0,7.615254346382874e-27,0.0
2025-05-11,3,low-volatility,1.0,8.565160600313387e-69,7.749169740044668e-19,1.4935763436112897e-16,1.0
2025-05-12,1,bull,0.9845116586259471,1.2182674809973452e-34,0.9845116586259471,0.015488341374115477,0.0
2025-05-13,2,high-volatility,0.9795087563897732,1.188553780603655e-23,0.020491243610125956,0.9795087563897732,0.0
2025-05-14,2,high-volatility,0.9999977121391362,1.6558617175818176e-22,2.2878608968127236e-06,0.9999977121391362,0.0
2025-05-15,2,high-volatility,0.9999992721953197,2.1615004078716053e-17,7.278047420893197e-07,0.9999992721953197,0.0
2025-05-16,2,high-volatility,0.9999999987865067,3.1633484210093216e-17,1.213509269475086e-09,0.9999999987865067,0.0
2025-05-17,2,high-volatility,0.9999999999997726,1.2920367292065418e-13,1.1970259417979204e-13,0.9999999999997726,0.0
2025-05-18,2,high-volatility,0.9999999988506261,1.1492885823635337e-09,7.238348631365226e-20,0.9999999988506261,0.0
2025-05-19,2,high-volatility,0.9999999989076969,1.0922795481368958e-09,7.332542791995202e-27,0.9999999989076969,0.0
2025-05-20,2,high-volatility,0.9999999621122704,3.788768608506266e-08,2.3331932697038176e-32,0.9999999621122704,0.0
2025-05-21,2,high-volatility,0.9999427042474136,5.729575256710054e-05,6.692362316580886e-30,0.9999427042474136,0.0
2025-05-22,2,high-volatility,0.9999953430523626,4.656947564445519e-06,3.3062457853422357e-32,0.9999953430523626,0.0
2025-05-23,2,high-volatility,0.9999950372828514,4.962717060665352e-06,2.6720713595218673e-32,0.9999950372828514,0.0
2025-05-24,2,high-volatility,0.9999895987573165,1.0401242649110105e-05,2.67239392018934e-32,0.9999895987573165,0.0
2025-05-25,2,high-volatility,0.9999354622481389,6.453775193418166e-05,7.475372897374637e-32,0.9999354622481389,0.0
2025-05-26,2,high-volatility,0.9998333642413649,0.00016663575873615026,5.59278742341709e-33,0.9998333642413649,0.0
2025-05-27,2,high-volatility,0.9991059476491893,0.0008940523507580259,4.113404904225692e-33,0.9991059476491893,0.0
2025-05-28,2,high-volatility,0.9999531158850615,4.688411484606635e-05,2.919949301709475e-32,0.9999531158850615,0.0
2025-05-29,2,high-volatility,0.9998693861733822,0.00013061382663784847,1.7171905943089038e-32,0.9998693861733822,0.0
2025-05-30,2,high-volatility,0.9996950174046082,0.0003049825954166161,4.967856871504593e-32,0.9996950174046082,0.0
2025-05-31,2,high-volatility,0.9815835658710061,0.018416434128963495,9.388664400222816e-34,0.9815835658710061,0.0
2025-06-01,0,bear,0.9703982046714023,0.9703982046714023,9.755452357261691e-39,0.02960179532860444,0.0
2025-06-02,0,bear,0.9993848266062936,0.9993848266062936,5.3035029914670915e-40,0.0006151733938023882,0.0
2025-06-03,0,bear,0.9999718078428967,0.9999718078428967,8.163031482124195e-42,2.8192157183130112e-05,0.0
2025-06-04,0,bear,0.9998872569060261,0.9998872569060261,1.9494907372806996e-37,0.00011274309406011214,0.0
2025-06-05,0,bear,0.9998207262738124,0.9998207262738124,8.378764320273779e-38,0.0001792737262699071,0.0
2025-06-06,0,bear,0.9999682934914587,0.9999682934914587,1.7047437797887554e-38,3.1706508462864794e-05,0.0
2025-06-07,0,bear,0.9996154014500565,0.9996154014500565,2.629179653638868e-39,0.0003845985499168649,0.0
2025-06-08,0,bear,0.997779592098494,0.997779592098494,2.7500025643924906e-38,0.0022204079015255623,0.0
2025-06-09,0,bear,0.9610971085212201,0.9610971085212201,9.849449702004081e-39,0.03890289147874097,0.0
2025-06-10,2,high-volatility,0.9969215768157027,0.0030784231842869735,4.287727533614325e-31,0.9969215768157027,0.0
2025-06-11,2,high-volatility,0.9999960029695404,3.997030479670336e-06,1.0668402606195018e-29,0.9999960029695404,0.0
2025-06-12,2,high-volatility,0.9999981217908401,1.8782090955800146e-06,3.3415684529155846e-30,0.9999981217908401,0.0
2025-06-13,2,high-volatility,0.9999990793448578,9.206550581223012e-07,7.114054498894151e-32,0.9999990793448578,0.0
2025-06-14,2,high-volatility,0.9999985558914855,1.4441084435295806e-06,6.83180470423034e-32,0.9999985558914855,0.0
2025-06-15,2,high-volatility,0.9999987557781433,1.2442217912434513e-06,1.1045515855342096e-31,0.9999987557781433,0.0
2025-06-16,2,high-volatility,0.9999988068684912,1.1931316209708651e-06,5.440449238152646e-32,0.9999988068684912,0.0
2025-06-17,2,high-volatility,0.9999995487311134,4.512688365093592e-07,3.8665471518733755e-32,0.9999995487311134,0.0
2025-06-18,2,high-volatility,0.9999997022942341,2.977058075634157e-07,4.5418231959698006e-33,0.9999997022942341,0.0
2025-06-19,2,high-volatility,0.9999989632782134,1.036721822655705e-06,1.430238836543365e-32,0.9999989632782134,0.0
2025-06-20,2,high-volatility,0.9999986627249047,1.3372750221112653e-06,8.702619704757024e-33,0.9999986627249047,0.0
2025-06-21,2,high-volatility,0.9999995423310021,4.5766895644193247e-07,2.4182967048141774e-33,0.9999995423310021,0.0
2025-06-22,2,high-volatility,0.9999995659078228,4.34092166527111e-07,7.898453340066378e-34,0.9999995659078228,0.0
2025-06-23,2,high-volatility,0.9999995730778212,4.2692227304545793e-07,2.23799334267712e-40,0.9999995730778212,0.0
2025-06-24,2,high-volatility,0.9999999915773969,8.422600249774765e-09,3.567357913185657e-44,0.9999999915773969,0.0
2025-06-25,2,high-volatility,0.9999999863111952,1.3688829052022968e-08,3.5098084716649584e-42,0.9999999863111952,0.0
2025-06-26,2,high-volatility,0.9999958372827917,4.162717188559717e-06,4.551796541145846e-37,0.9999958372827917,0.0
2025-06-27,2,high-volatility,0.9999981579647877,1.8420351534640763e-06,6.552377132416698e-37,0.9999981579647877,0.0
2025-06-28,2,high-volatility,0.9999980885616047,1.911438408689844e-06,1.920003199832151e-37,0.9999980885616047,0.0
2025-06-29,2,high-volatility,0.999998980942174,1.0190579045295202e-06,3.463518228955566e-36,0.999998980942174,0.0
2025-06-30,2,high-volatility,0.9999984757910417,1.5242089264100964e-06,5.481078446558918e-37,0.9999984757910417,0.0
2025-07-01,2,high-volatility,0.9999948608529117,5.139146983823797e-06,2.1991120870501747e-34,0.9999948608529117,0.0
2025-07-02,2,high-volatility,0.9998952436575399,0.00010475634236082044,1.3528693857223824e-30,0.9998952436575399,0.0
2025-07-03,2,high-volatility,0.9999611562148083,3.884378527677585e-05,1.4053952698156856e-30,0.9999611562148083,0.0
2025-07-04,2,high-volatility,0.999937964048559,6.203595152314577e-05,2.1236413284297894e-30,0.999937964048559,0.0
2025-07-05,2,high-volatility,0.9998864411806797,0.00011355881921027542,8.576834795618602e-31,0.9998864411806797,0.0
2025-07-06,2,high-volatility,0.9967755952489467,0.0032244047509535226,2.761519525304804e-36,0.9967755952489467,0.0
2025-07-07,0,bear,0.9999452855421155,0.9999452855421155,2.902279403135495e-45,5.4714457826454365e-05,0.0
2025-07-08,0,bear,0.9999999203312232,0.9999999203312232,8.97296428864247e-44,7.966888440558445e-08,0.0
2025-07-09,0,bear,0.9999999567755831,0.9999999567755831,3.94753066026672e-49,4.3224365958342855e-08,0.0
2025-07-10,0,bear,0.9999999778442545,0.9999999778442545,5.40581054685703e-48,2.2155743068542076e-08,0.0
2025-07-11,0,bear,0.9999991483097336,0.9999991483097336,1.1025968917903496e-43,8.516902450718162e-07,0.0
2025-07-12,0,bear,0.9999979165198842,0.9999979165198842,1.1866023943968532e-44,2.083480202113772e-06,0.0
2025-07-13,0,bear,0.999998477124359,0.999998477124359,7.865571014255064e-42,1.522875561115013e-06,0.0
2025-07-14,0,bear,0.9999994408175752,0.9999994408175752,8.804706408828473e-44,5.59182472433531e-07,0.0
2025-07-15,0,bear,0.9999996343690996,0.9999996343690996,6.994816952097287e-43,3.6563100120126186e-07,0.0
