date,state,regime,confidence,prob_sideways,prob_bear,prob_bull
2025-04-28,2,bull,0.9999999984679562,3.367371998665798e-39,1.5319759775076407e-09,0.9999999984679562
2025-04-29,2,bull,0.9999999995484359,3.4884872806513774e-42,4.5165372354724036e-10,0.9999999995484359
2025-04-30,2,bull,0.9999999999949978,2.8309157771059095e-47,4.91227436015073e-12,0.9999999999949978
2025-05-01,2,bull,0.9999999999386091,3.0506728680150716e-54,6.140263900129341e-11,0.9999999999386091
2025-05-02,2,bull,0.9999999999593001,4.6102237500991796e-60,4.074228155918974e-11,0.9999999999593001
2025-05-03,2,bull,0.9999999999977263,1.9520299338119123e-65,2.272142119897245e-12,0.9999999999977263
2025-05-04,2,bull,0.9999999999995453,7.79788008027356e-72,5.085081043346924e-13,0.9999999999995453
2025-05-05,2,bull,0.9999999999997726,4.651805719325969e-77,1.3269728783901913e-13,0.9999999999997726
2025-05-06,2,bull,1.0,1.5001882731578058e-78,1.1954196230511934e-15,1.0
2025-05-07,2,bull,1.0,6.201534722695404e-79,3.548588002247182e-16,1.0
2025-05-08,2,bull,1.0,5.244592594085888e-75,6.639751406104726e-16,1.0
2025-05-09,2,bull,1.0,1.0215609140718218e-68,5.088588056655057e-16,1.0
2025-05-10,2,bull,0.9999999999997726,2.3886517929227292e-64,1.4071222261499799e-13,0.9999999999997726
2025-05-11,2,bull,0.9999999999997726,5.193084140263501e-82,1.437212003758839e-13,0.9999999999997726
2025-05-12,2,bull,1.0,6.910935247094685e-118,1.3742469028256486e-37,1.0
2025-05-13,2,bull,1.0,2.0188572688762123e-129,1.6817623505252984e-51,1.0
2025-05-14,2,bull,1.0,1.0869306628872449e-128,3.0082852284682353e-52,1.0
2025-05-15,2,bull,1.0,8.374040851880129e-141,1.0369675149005436e-43,1.0
2025-05-16,2,bull,1.0,1.616244799260384e-126,1.1787988985197439e-48,1.0
2025-05-17,2,bull,1.0,6.783699949091019e-137,1.9395042724344794e-46,1.0
2025-05-18,2,bull,1.0,6.960618483205585e-138,1.955944766534414e-49,1.0
2025-05-19,2,bull,1.0,2.2918041400553615e-131,4.805607703074829e-51,1.0
2025-05-20,2,bull,1.0,6.890031128684116e-137,4.61622050306853e-40,1.0
2025-05-21,2,bull,1.0,5.257471491639143e-128,3.140951014970083e-35,1.0
2025-05-22,2,bull,1.0,1.570593990397346e-123,8.481644719465167e-36,1.0
2025-05-23,2,bull,1.0,1.2623294887940461e-126,4.351725329937719e-32,1.0
2025-05-24,2,bull,1.0,1.0431569709140507e-124,2.1850034810190156e-31,1.0
2025-05-25,2,bull,1.0,1.0552694567388989e-128,2.1741227119020313e-30,1.0
2025-05-26,2,bull,1.0,1.0582190379815752e-119,2.297205990536449e-32,1.0
