date,state,regime,confidence,prob_low-volatility,prob_bull,prob_high-volatility,prob_bear
2025-09-06,0,low-volatility,0.9999999970946192,0.9999999970946192,0.0,2.9053351089153943e-09,0.0
2025-09-07,0,low-volatility,0.9999999972257001,0.9999999972257001,0.0,2.774346375375558e-09,0.0
2025-09-08,0,low-volatility,0.9999999970086719,0.9999999970086719,0.0,2.9913026288883753e-09,0.0
2025-09-09,0,low-volatility,0.9999999934769903,0.9999999934769903,0.0,6.523023003836239e-09,0.0
2025-09-10,0,low-volatility,0.9999999953904535,0.9999999953904535,0.0,4.609591141383679e-09,0.0
2025-09-11,0,low-volatility,0.9999999981373549,0.9999999981373549,0.0,1.8625886551701816e-09,0.0
2025-09-12,0,low-volatility,0.9999999963671371,0.9999999963671371,0.0,3.632839642470692e-09,0.0
2025-09-13,0,low-volatility,0.9999999979623908,0.9999999979623908,0.0,2.037613224121443e-09,0.0
2025-09-14,0,low-volatility,0.9999999986215471,0.9999999986215471,0.0,1.3784610148358054e-09,0.0
2025-09-15,0,low-volatility,0.9999999943097464,0.9999999943097464,0.0,5.690243909225261e-09,0.0
2025-09-16,0,low-volatility,0.9999999924881422,0.9999999924881422,0.0,7.511820251990724e-09,0.0
2025-09-17,0,low-volatility,0.9999999953766974,0.9999999953766974,0.0,4.623304986311193e-09,0.0
2025-09-18,0,low-volatility,0.9999999865848395,0.9999999865848395,0.0,1.3415129719665694e-08,0.0
2025-09-19,0,low-volatility,0.999999983103976,0.999999983103976,0.0,1.6895978352557517e-08,0.0
2025-09-20,0,low-volatility,0.9999999812896478,0.9999999812896478,0.0,1.8710349720892677e-08,0.0
2025-09-21,0,low-volatility,0.9999999831428569,0.9999999831428569,0.0,1.6857138610607438e-08,0.0
2025-09-22,0,low-volatility,0.9999999947859806,0.9999999947859806,0.0,5.214035951196572e-09,0.0
2025-09-23,0,low-volatility,0.9999999911594841,0.9999999911594841,0.0,8.840483013545091e-09,0.0
2025-09-24,0,low-volatility,0.9999999034053009,0.9999999034053009,0.0,9.659473181823605e-08,0.0
2025-09-25,0,low-volatility,0.9999998137174262,0.9999998137174262,0.0,1.8628256102823883e-07,0.0
2025-09-26,0,low-volatility,0.9999999014808103,0.9999999014808103,0.0,9.851915698645186e-08,0.0
2025-09-27,0,low-volatility,0.9999998644781364,0.9999998644781364,0.0,1.3552189124175807e-07,0.0
2025-09-28,0,low-volatility,0.9999998568560033,0.9999998568560033,0.0,1.431440412494187e-07,0.0
2025-09-29,0,low-volatility,0.9999998287625123,0.9999998287625123,0.0,1.712374460492048e-07,0.0
2025-09-30,0,low-volatility,0.9999996018610429,0.9999996018610429,0.0,3.9813891723296734e-07,0.0
2025-10-01,0,low-volatility,0.9999984382561395,0.9999984382561395,0.0,1.5617438290098572e-06,0.0
2025-10-02,0,low-volatility,0.9999981260571581,0.9999981260571581,0.0,1.8739428795907326e-06,0.0
2025-10-03,0,low-volatility,0.9999980313703014,0.9999980313703014,0.0,1.968629684977962e-06,0.0
2025-10-04,0,low-volatility,0.9999979812093812,0.9999979812093812,0.0,2.0187905840113716e-06,0.0
2025-10-05,0,low-volatility,0.9999976061494866,0.9999976061494866,0.0,2.393850562502522e-06,0.0
2025-10-06,0,low-volatility,0.9999972738254072,0.9999972738254072,0.0,2.726174630018012e-06,0.0
2025-10-07,0,low-volatility,0.9999996082895762,0.9999996082895762,0.0,3.9171047768270066e-07,0.0
2025-10-08,0,low-volatility,0.9999988545330064,0.9999988545330064,0.0,1.1454669984354933e-06,0.0
2025-10-09,0,low-volatility,0.9999996392053359,0.9999996392053359,0.0,3.607946658369134e-07,0.0
2025-10-10,0,low-volatility,1.0,1.0,0.0,3.400952898910988e-18,0.0
2025-10-11,0,low-volatility,1.0,1.0,0.0,6.503105463176817e-15,0.0
2025-10-12,0,low-volatility,0.9999999999836291,0.9999999999836291,0.0,1.637761454290031e-11,0.0
2025-10-13,2,high-volatility,0.38067582392838945,0.6193241760716233,0.0,0.38067582392838945,0.0
2025-10-14,2,high-volatility,0.48863627722862596,0.5113637227713308,0.0,0.48863627722862596,0.0
2025-10-15,2,high-volatility,0.8143903470145474,0.18560965298540977,0.0,0.8143903470145474,0.0
2025-10-16,2,high-volatility,0.9910136736244554,0.008986326375498099,0.0,0.9910136736244554,0.0
2025-10-17,2,high-volatility,0.9999717296943834,2.8270305609815844e-05,0.0,0.9999717296943834,0.0
2025-10-18,2,high-volatility,0.9999999249066632,7.509331719175863e-08,0.0,0.9999999249066632,0.0
2025-10-19,2,high-volatility,0.9999999902253194,9.774730644382076e-09,0.0,0.9999999902253194,0.0
2025-10-20,2,high-volatility,0.9999999999952252,4.731250201678837e-12,0.0,0.9999999999952252,0.0
2025-10-21,2,high-volatility,0.9999999999992042,8.08967477693185e-13,0.0,0.9999999999992042,0.0
2025-10-22,2,high-volatility,0.9999999999998863,1.4264005953831897e-13,0.0,0.9999999999998863,0.0
2025-10-23,2,high-volatility,0.9999999999998863,8.68031677803344e-14,0.0,0.9999999999998863,0.0
2025-10-24,2,high-volatility,1.0,3.1417699310474497e-15,0.0,1.0,0.0
