date,state,regime,confidence,prob_sideways,prob_high-volatility,prob_low-volatility
2025-06-26,4,low-volatility,0.9999999989279331,4.364724462619962e-22,0.0,0.9999999989279331
2025-06-27,4,low-volatility,0.9999999994727204,1.449776480342297e-22,0.0,0.9999999994727204
2025-06-28,4,low-volatility,0.9999999967326403,7.67966132407445e-25,0.0,0.9999999967326403
2025-06-29,4,low-volatility,0.9999999999977263,1.7780662468955973e-19,0.0,0.9999999999977263
2025-06-30,4,low-volatility,0.999997195796207,6.467755779343939e-22,0.0,0.999997195796207
2025-07-01,4,low-volatility,0.9999947206436651,1.8463244988991824e-16,0.0,0.9999947206436651
2025-07-02,4,low-volatility,0.9999992937780682,1.2351471573893324e-15,0.0,0.9999992937780682
2025-07-03,4,low-volatility,0.9999984280014892,1.264754769204005e-21,0.0,0.9999984280014892
2025-07-04,4,low-volatility,0.9999999999843112,6.696500166453437e-25,0.0,0.9999999999843112
2025-07-05,4,low-volatility,1.0,3.879288330231508e-29,0.0,1.0
2025-07-06,4,low-volatility,0.9999999999997726,8.944335553896896e-36,0.0,0.9999999999997726
2025-07-07,4,low-volatility,1.0,3.149209644839439e-33,0.0,1.0
2025-07-08,4,low-volatility,1.0,3.3381732046298834e-34,0.0,1.0
2025-07-09,4,low-volatility,1.0,1.01260214431025e-31,0.0,1.0
2025-07-10,4,low-volatility,0.9999999999984084,2.6224633505822902e-30,0.0,0.9999999999984084
2025-07-11,4,low-volatility,0.999999999994543,3.5714744107183385e-29,0.0,0.999999999994543
2025-07-12,4,low-volatility,0.9999999999899956,6.1598177923623405e-31,0.0,0.9999999999899956
2025-07-13,4,low-volatility,0.9999999999968168,8.77264285347656e-39,0.0,0.9999999999968168
2025-07-14,4,low-volatility,1.0,8.804762331456524e-34,0.0,1.0
2025-07-15,4,low-volatility,1.0,1.340725664594384e-31,0.0,1.0
2025-07-16,4,low-volatility,0.9999999999035936,1.2048895635465002e-27,0.0,0.9999999999035936
2025-07-17,4,low-volatility,0.9999999924500571,5.515222454404015e-32,0.0,0.9999999924500571
2025-07-18,4,low-volatility,0.9999999999913598,2.7187420790791177e-31,0.0,0.9999999999913598
2025-07-19,4,low-volatility,0.9999999999940883,3.7689170942171656e-35,0.0,0.9999999999940883
2025-07-20,4,low-volatility,0.999999999996362,1.4916269884458879e-30,0.0,0.999999999996362
2025-07-21,4,low-volatility,0.999999999939746,1.8918117190372476e-33,0.0,0.999999999939746
2025-07-22,4,low-volatility,0.9999999999888587,3.008077215582708e-29,0.0,0.9999999999888587
