date,state,regime,confidence,prob_sideways,prob_bull,prob_bear,prob_high-volatility,prob_low-volatility
2025-05-29,1,bull,0.9999991294302314,2.5165267692545818e-18,0.9999991294302314,8.705696783835608e-07,1.3274664274677882e-122,1.9306195360525153e-17
2025-05-30,1,bull,0.9999995596245813,2.954512902380077e-17,0.9999995596245813,4.403753352308418e-07,3.443334217814722e-123,3.472225662442561e-23
2025-05-31,1,bull,0.9999999999445208,7.937914283977003e-16,0.9999999999445208,5.548044484078531e-11,4.3214380425579464e-107,3.85885122295845e-18
2025-06-01,1,bull,0.9999812632827363,2.0855491332262345e-06,0.9999812632827363,1.5372571166659445e-05,6.465492105059806e-119,1.2785970582731303e-06
2025-06-02,2,bear,0.9967337608996458,5.791641364116828e-10,0.003266238520652208,0.9967337608996458,9.741563737203465e-101,6.149405657740745e-13
2025-06-03,2,bear,0.9999987601498516,9.462844116857032e-12,1.2398407596761022e-06,0.9999987601498516,8.924003281170762e-119,1.9330250466990897e-18
2025-06-04,2,bear,0.9999999637016124,8.382639103581525e-13,3.6297459842672e-08,0.9999999637016124,5.164837319227697e-131,2.4960002768012546e-24
2025-06-05,2,bear,0.9999999988303898,4.509217811954941e-14,1.1695696977272667e-09,0.9999999988303898,1.960716366685934e-139,3.911870909488866e-29
2025-06-06,2,bear,0.9999947311271279,1.7610501362388874e-13,5.268872767521036e-06,0.9999947311271279,5.757613198110999e-123,1.050623411476396e-23
2025-06-07,2,bear,0.9999986796967354,4.497603391636584e-13,1.3203027667946486e-06,0.9999986796967354,3.1321015253229863e-118,7.670455084920634e-20
2025-06-08,2,bear,0.9999996414424647,3.901379581222331e-13,3.585571261590679e-07,0.9999996414424647,5.679117392687682e-113,2.7503345578391518e-21
2025-06-09,2,bear,0.9999980479293252,2.2358240595313472e-13,1.9520704853841954e-06,0.9999980479293252,3.244313177560233e-110,1.139381233977871e-20
2025-06-10,2,bear,0.9999993992298172,6.223743931580849e-14,6.007701796858813e-07,0.9999993992298172,3.365933364156147e-135,1.5709200272323484e-24
2025-06-11,2,bear,0.9999998165099155,1.9112132126526856e-14,1.834901337196273e-07,0.9999998165099155,7.445267946365387e-144,2.798738342039744e-26
2025-06-12,2,bear,0.9999999844346804,6.049847569825501e-15,1.556522812263072e-08,0.9999999844346804,3.5427908076129616e-148,1.9385844370033944e-28
2025-06-13,2,bear,0.9999999998167368,2.735183342776732e-15,1.831813220631909e-10,0.9999999998167368,8.301678140726405e-152,1.2774706151996477e-30
2025-06-14,2,bear,0.9999999999106421,1.5371428546566827e-15,8.927770608007618e-11,0.9999999999106421,5.746407375852119e-157,9.858341514745081e-33
2025-06-15,2,bear,0.9999993726594005,2.945080160353516e-09,6.243954564973232e-07,0.9999993726594005,4.849491811576142e-128,1.3783187731210508e-35
2025-06-16,0,sideways,0.9999999905287495,0.9999999905287495,3.4048896612788775e-17,2.1808277131545176e-44,3.279191176155528e-95,9.471175306962821e-09
2025-06-17,0,sideways,0.9999999623064475,0.9999999623064475,2.3001830875616162e-17,1.0331952011612112e-30,7.657995065045556e-46,3.769364096867665e-08
2025-06-18,0,sideways,0.9999999641433994,0.9999999641433994,2.3901123929218632e-14,2.753844920804868e-23,4.9650004957056116e-33,3.58566493181026e-08
2025-06-19,0,sideways,0.9999999921024028,0.9999999921024028,1.4263761394742862e-13,1.3156408641775484e-20,2.5208766541315294e-32,7.897440063954917e-09
2025-06-20,0,sideways,0.999999988006266,0.999999988006266,1.4471942789202092e-14,2.206568638616149e-25,9.987322050270089e-36,1.1993797358247021e-08
2025-06-21,0,sideways,0.9999999947744982,0.9999999947744982,1.908920882321528e-15,6.358509184089171e-27,8.55627119915816e-37,5.225492732668068e-09
2025-06-22,0,sideways,0.9999999960084551,0.9999999960084551,1.652920087249793e-15,1.3716906606798504e-26,5.023063437969426e-38,3.991546991685364e-09
2025-06-23,0,sideways,0.9999999929498244,0.9999999929498244,4.9486866251158704e-15,6.530604020801398e-26,1.7077945470447686e-33,7.050231875339256e-09
2025-06-24,0,sideways,0.9999999245451392,0.9999999245451392,1.0780547462873314e-13,2.8616522185785844e-25,2.8330872906656976e-25,7.545485906947671e-08
2025-06-25,0,sideways,0.9999934009946995,0.9999934009946995,1.5357873882251752e-13,2.1495024898798685e-31,2.3689894939443658e-25,6.599005141239893e-06
2025-06-26,0,sideways,0.9998982701047618,0.9998982701047618,1.1061193782209335e-10,4.758139638644806e-30,6.281792067867626e-54,0.00010172978472846216
2025-06-27,0,sideways,0.9999999649221543,0.9999999649221543,1.800920805015326e-08,5.9170177879197095e-50,7.903731486044206e-232,1.7068653231549996e-08
2025-06-28,0,sideways,0.9999975673101775,0.9999975673101775,2.165809979718555e-06,8.227154474122046e-26,1.0367509453746668e-114,2.668798146415874e-07
