date,state,regime,confidence,prob_sideways,prob_bull,prob_high-volatility,prob_low-volatility
2025-06-07,1,bull,0.9999999990886863,4.365421594555717e-196,0.9999999990886863,0.0,2.158252156578909e-186
2025-06-08,1,bull,0.9999999998169642,2.650729107319009e-211,0.9999999998169642,0.0,8.731691763335604e-208
2025-06-09,1,bull,0.9999999999777174,1.615694167301876e-213,0.9999999999777174,0.0,2.3938390857089567e-238
2025-06-10,1,bull,0.9999999999954525,2.559130164578649e-223,0.9999999999954525,0.0,2.3036895393430975e-259
2025-06-11,1,bull,0.9999999999993179,6.398172062012679e-251,0.9999999999993179,0.0,5.138346416823284e-249
2025-06-12,1,bull,0.9999999999918145,1.4942487644581332e-266,0.9999999999918145,0.0,6.594046189785901e-261
2025-06-13,1,bull,0.9999999999859028,7.524450867658196e-249,0.9999999999859028,0.0,8.397257644711204e-239
2025-06-14,1,bull,0.9999999997387476,1.6849764636099813e-236,0.9999999997387476,0.0,8.769837676240507e-215
2025-06-15,1,bull,0.9999999992992343,1.2674222646294762e-223,0.9999999992992343,0.0,5.873470927138825e-214
2025-06-16,1,bull,0.9999999999831743,7.670660075557412e-147,0.9999999999831743,0.0,1.7219525153756362e-223
2025-06-17,1,bull,0.9999999958415628,2.0635379803298943e-172,0.9999999958415628,0.0,1.53866059899229e-153
2025-06-18,1,bull,0.999997073229187,6.122102545588788e-133,0.999997073229187,0.0,1.2523746090878378e-113
2025-06-19,1,bull,0.9848590598801804,7.299151936633271e-98,0.9848590598801804,0.0,1.538432270730958e-60
2025-06-20,0,sideways,0.9160043948996534,2.0822996588273616e-55,0.08399560509524916,0.0,5.068956525585849e-12
2025-06-21,0,sideways,0.9955398077331128,1.0454544690443234e-47,0.004459572323523654,0.0,6.199432801204289e-07
2025-06-22,0,sideways,0.9973640744429019,1.445611027392755e-49,0.002635925557095463,0.0,8.888875852716453e-14
2025-06-23,0,sideways,0.9993501988750071,1.6425607417854644e-60,0.0006498011250692931,0.0,3.226300702930794e-15
2025-06-24,0,sideways,0.9993665914159945,1.3196432113843156e-66,0.0006334085840876486,0.0,1.7584253789465526e-19
2025-06-25,0,sideways,0.9999714670280642,4.830593405369084e-83,2.853297186442235e-05,0.0,1.9392733743617335e-16
2025-06-26,0,sideways,0.9999998492860527,1.8973367485329995e-101,1.507139037029597e-07,0.0,4.753778177484174e-17
2025-06-27,0,sideways,0.999999205211768,2.2691286902015688e-91,7.947879721764327e-07,0.0,3.202237138623622e-13
2025-06-28,0,sideways,0.9999993305914325,3.293833829764755e-86,6.693601355751583e-07,0.0,4.838256481484573e-11
2025-06-29,0,sideways,0.9999969007251645,2.88928780076133e-83,3.0991910757255475e-06,0.0,8.383410858498928e-11
2025-06-30,0,sideways,0.9999999637411754,8.161892517994714e-112,3.625825515645742e-08,0.0,5.937108742762189e-13
2025-07-01,0,sideways,1.0,5.875300793568913e-119,6.237029569750872e-15,0.0,2.8031007300410857e-22
2025-07-02,0,sideways,1.0,1.6811802361650426e-125,1.8966887288484608e-14,0.0,1.4786312312426311e-28
2025-07-03,0,sideways,0.999999999994543,1.3639128716516258e-120,5.548608658183293e-12,0.0,8.805687402429353e-25
