date,state,regime,confidence,prob_bear,prob_bull,prob_high-volatility,prob_sideways,prob_low-volatility
2025-06-21,1,bull,0.9888882169039748,0.009013304581674954,0.9888882169039748,5.7490156556820094e-12,0.002098478508704492,1.4896421982585862e-23
2025-06-22,1,bull,0.9425384934807959,0.049699621470364636,0.9425384934807959,3.981129669284008e-11,0.007761885009075074,2.663565532325954e-22
2025-06-23,1,bull,0.6205190979771098,0.3523707727170396,0.6205190979771098,1.2666222460311054e-10,0.027110129179208266,2.201170986168507e-20
2025-06-24,0,bear,0.6828967400178276,0.6828967400178276,0.02377018433751962,1.1608856535004295e-10,0.2933330755285525,4.60584064652876e-25
2025-06-25,3,sideways,0.9517445604705324,0.04705402542758914,0.001201414101698033,1.5696063009387947e-13,0.9517445604705324,2.823806985945158e-34
2025-06-26,3,sideways,0.9976195653379046,0.002380418082401075,1.6579715451303408e-08,2.4368803127839427e-14,0.9976195653379046,8.780486531736259e-50
2025-06-27,3,sideways,0.9999982936013574,1.7063983544374909e-06,3.0505747211497216e-13,7.432543251538225e-17,0.9999982936013574,3.397295374808208e-51
2025-06-28,3,sideways,0.9999998546602561,1.4533936236129025e-07,4.790709504121132e-13,2.5784412105381918e-21,0.9999998546602561,1.57126435737255e-48
2025-06-29,3,sideways,0.9999992890950833,7.108028739009626e-07,1.0203767167821202e-10,3.1284848772322965e-21,0.9999992890950833,1.0472750199557187e-41
2025-06-30,3,sideways,0.9999981422273753,1.8577645736853983e-06,7.978069082514914e-12,2.954711559464164e-20,0.9999981422273753,4.8565264090772075e-42
2025-07-01,3,sideways,0.999999750705487,2.492944433184054e-07,7.360655753007727e-14,2.200595571566808e-21,0.999999750705487,1.1921939212058444e-50
2025-07-02,3,sideways,0.999999998046178,3.56995492509621e-11,1.9180938391753457e-09,2.12036157557619e-29,0.999999998046178,3.9215694871856265e-53
2025-07-03,3,sideways,0.9999926851686867,7.282975499385144e-06,3.1855758379888956e-08,2.142419420329027e-24,0.9999926851686867,3.28733884790831e-38
2025-07-04,3,sideways,0.9999923980192494,7.598748787161092e-06,3.232031645918205e-09,1.1036445870411273e-23,0.9999923980192494,9.781761403861516e-44
2025-07-05,3,sideways,0.9999975401340876,2.4598048943276437e-06,6.093280900831084e-11,1.863597159731502e-24,0.9999975401340876,2.2535173302303512e-43
2025-07-06,3,sideways,0.9999999593151195,4.068488546648161e-08,2.6645373655509424e-18,3.2230150501818477e-21,0.9999999593151195,4.440220302372335e-87
2025-07-07,3,sideways,1.0,7.985200217451861e-22,9.367277677852702e-15,1.6859056895364635e-26,1.0,4.189005475970535e-71
2025-07-08,3,sideways,1.0,9.378774617849955e-17,1.0641438195257566e-14,4.8267327253146636e-20,1.0,3.3005967407364534e-72
