date,state,regime,confidence,prob_sideways,prob_bear,prob_bull
2025-05-17,2,bull,0.9999999929749492,7.025089729601982e-09,0.0,0.9999999929749492
2025-05-18,0,sideways,0.9971139434657819,0.9971139434657819,0.0,0.0028860565341833756
2025-05-19,0,sideways,0.9999988924284248,0.9999988924284248,0.0,1.1075716283005463e-06
2025-05-20,0,sideways,0.9999999997957048,0.9999999997957048,0.0,2.0429585264795202e-10
2025-05-21,0,sideways,1.0,1.0,0.0,2.672146584510886e-14
2025-05-22,0,sideways,1.0,1.0,0.0,5.41398280218275e-20
2025-05-23,0,sideways,1.0,1.0,0.0,1.4057422952748873e-25
2025-05-24,0,sideways,1.0,1.0,0.0,3.2102037019877975e-32
2025-05-25,0,sideways,1.0,1.0,0.0,6.108249947951069e-38
2025-05-26,0,sideways,1.0,1.0,0.0,1.498638744530222e-43
2025-05-27,0,sideways,1.0,1.0,0.0,5.391786753702137e-47
2025-05-28,0,sideways,1.0,1.0,0.0,5.669283845103949e-51
2025-05-29,0,sideways,1.0,1.0,0.0,4.7437054116567606e-55
2025-05-30,0,sideways,1.0,1.0,0.0,4.459540424222152e-59
2025-05-31,0,sideways,1.0,1.0,0.0,5.741264161792946e-65
2025-06-01,0,sideways,1.0,1.0,0.0,5.455263156074615e-72
2025-06-02,0,sideways,1.0,1.0,0.0,2.1351215449598663e-78
2025-06-03,0,sideways,1.0,1.0,0.0,1.1761393474113663e-84
2025-06-04,0,sideways,1.0,1.0,0.0,9.072759757421024e-91
2025-06-05,0,sideways,1.0,1.0,0.0,3.7242361948296914e-96
2025-06-06,0,sideways,1.0,1.0,0.0,1.3579427995740071e-101
2025-06-07,0,sideways,1.0,1.0,0.0,3.105081542706712e-107
2025-06-08,0,sideways,1.0,1.0,0.0,1.6201124553412019e-112
2025-06-09,0,sideways,1.0,1.0,0.0,4.4607107576703744e-121
2025-06-10,0,sideways,1.0,1.0,0.0,4.887763630874361e-130
2025-06-11,0,sideways,1.0,1.0,0.0,6.659661340459426e-143
2025-06-12,0,sideways,1.0,1.0,0.0,3.454566120649925e-157
2025-06-13,0,sideways,1.0,1.0,0.0,1.096823942867064e-170
2025-06-14,0,sideways,1.0,1.0,0.0,6.600786697896459e-183
2025-06-15,0,sideways,1.0,1.0,0.0,1.082268738951117e-196
2025-06-16,0,sideways,1.0,1.0,0.0,2.7471566768033636e-209
2025-06-17,0,sideways,1.0,1.0,0.0,9.279404857868715e-232
2025-06-18,0,sideways,1.0,1.0,0.0,5.4640486463492204e-248
2025-06-19,0,sideways,1.0,1.0,0.0,1.3570385617985895e-264
2025-06-20,0,sideways,1.0,1.0,0.0,3.764221070044824e-265
2025-06-21,0,sideways,1.0,1.0,0.0,1.478001668820642e-265
2025-06-22,0,sideways,1.0,1.0,0.0,1.8575025415663007e-266
2025-06-23,0,sideways,1.0,1.0,0.0,3.289664211666971e-265
2025-06-24,0,sideways,1.0,1.0,0.0,1.2259856366791986e-257
2025-06-25,0,sideways,1.0,1.0,0.0,1.1938032648548634e-258
