date,state,regime,confidence,prob_sideways,prob_bear,prob_high-volatility,prob_bull,prob_low-volatility
2025-04-04,2,high-volatility,1.0,9.898042055810584e-113,1.7370333113180604e-22,1.0,9.014729437041897e-83,6.68875768150639e-25
2025-04-05,2,high-volatility,1.0,7.880672598982877e-130,9.34170080296818e-25,1.0,7.526382409638182e-106,7.0872001393111965e-40
2025-04-06,2,high-volatility,1.0,1.082618301589013e-160,1.1959134816061013e-17,1.0,1.6356763096025382e-134,9.001008787389557e-54
2025-04-07,2,high-volatility,1.0,1.9659351472522298e-275,1.92424383936532e-68,1.0,1.0619746753919201e-230,4.731272705188923e-71
2025-04-08,2,high-volatility,1.0,1.8395314364779213e-308,3.9527280920812085e-69,1.0,0.0,2.0532031406322425e-110
2025-04-09,2,high-volatility,1.0,4.960110346027534e-289,3.0811380186691843e-148,1.0,0.0,1.342188487144778e-140
2025-04-10,2,high-volatility,1.0,1.0946251479195163e-279,8.394497294915885e-86,1.0,0.0,3.94103191847894e-137
2025-04-11,2,high-volatility,1.0,4.169191532269767e-291,2.0703979593466464e-102,1.0,0.0,2.3565602412741365e-144
2025-04-12,2,high-volatility,1.0,1.3088944814841005e-288,1.2784977637220642e-70,1.0,0.0,3.716203790438926e-144
2025-04-13,2,high-volatility,1.0,2.0197057069010417e-289,1.2153628677505307e-66,1.0,0.0,7.45195418667448e-147
2025-04-14,2,high-volatility,1.0,1.3299598475767919e-284,1.0907366683711209e-66,1.0,0.0,4.4383722956187385e-144
2025-04-15,2,high-volatility,1.0,1.4222567085768096e-287,5.073231113502868e-58,1.0,0.0,5.61526473505323e-146
2025-04-16,2,high-volatility,1.0,1.6332551423006748e-288,1.1229073777797911e-60,1.0,0.0,1.0398574133595655e-142
2025-04-17,2,high-volatility,1.0,2.229565540907961e-293,5.629982260319085e-63,1.0,0.0,3.9702417453879905e-147
2025-04-18,2,high-volatility,1.0,7.885675425809007e-291,5.033002318796757e-65,1.0,0.0,9.567151628220374e-148
2025-04-19,2,high-volatility,1.0,6.357980650999485e-287,4.1639526121113425e-63,1.0,0.0,1.4346135125948862e-145
2025-04-20,2,high-volatility,1.0,4.084014932849363e-281,1.616804760274195e-64,1.0,0.0,5.1735935779450244e-138
2025-04-21,2,high-volatility,1.0,7.97267710042308e-266,1.733900322028574e-66,1.0,0.0,7.046429285177507e-133
2025-04-22,2,high-volatility,1.0,1.109232972494894e-258,6.215082639826918e-79,1.0,0.0,2.4685543158077655e-125
2025-04-23,2,high-volatility,1.0,2.1152005033697163e-246,2.3361600175629625e-72,1.0,4.0973374668962856e-301,5.706329399861408e-119
