date,state,regime,confidence,prob_bull,prob_high-volatility,prob_bear,prob_low-volatility
2025-04-28,0,bull,0.9999999999997726,0.9999999999997726,8.645091874905622e-23,2.294086920481821e-13,9.698052731352613e-71
2025-04-29,0,bull,0.9999999982483132,0.9999999982483132,1.73210439338266e-16,1.751758064442611e-09,6.656826760274368e-35
2025-04-30,0,bull,0.9999999985732302,0.9999999985732302,3.0834849947497956e-12,1.4236227378931628e-09,1.66735408337269e-20
2025-05-01,0,bull,0.9989820572811046,0.9989820572811046,1.5138593850223017e-17,1.9609986842238245e-08,0.0010179231088314098
2025-05-02,0,bull,0.9999999140600303,0.9999999140600303,1.6021839430003738e-09,8.237773780872782e-08,1.960052388722413e-09
2025-05-03,0,bull,0.9999997392203908,0.9999997392203908,1.3350580385693726e-09,2.0343108590588377e-07,5.6013439789440846e-08
2025-05-04,0,bull,0.9999993546107171,0.9999993546107171,4.984985220820314e-16,3.667126256620856e-07,2.786765454597237e-07
2025-05-05,0,bull,0.9999999999995453,0.9999999999995453,9.415022330559216e-21,3.6973792420827825e-13,1.631112883019338e-28
2025-05-06,0,bull,1.0,1.0,3.4900179336763914e-27,4.233981622811921e-15,1.5365274217521917e-108
2025-05-07,0,bull,0.9999999999979536,0.9999999999979536,1.821529346299518e-32,2.144227455711813e-12,5.142731572913679e-55
2025-05-08,0,bull,1.0,1.0,1.823635677869914e-35,1.8706378053061213e-14,2.3975315881670868e-35
2025-05-09,0,bull,1.0,1.0,1.0829427581640015e-32,5.062891650260973e-14,1.479839982379175e-43
2025-05-10,0,bull,1.0,1.0,1.6186967544318324e-34,2.2268248593048263e-14,3.8810449177549915e-56
2025-05-11,0,bull,1.0,1.0,1.9891029657267928e-35,4.5518585242873254e-18,6.478150299593239e-63
2025-05-12,0,bull,1.0,1.0,5.310853810503714e-37,6.670929391681073e-17,2.9960550528633266e-30
2025-05-13,0,bull,1.0,1.0,1.6309392293967006e-33,2.245977776342335e-17,9.972313538613331e-52
2025-05-14,0,bull,1.0,1.0,4.135145415377254e-34,4.095669776405097e-19,1.5257591841024738e-47
2025-05-15,0,bull,1.0,1.0,1.6781204894667052e-34,4.689879502669352e-16,1.3327402768616453e-101
2025-05-16,0,bull,1.0,1.0,2.4530575192333345e-34,2.7223206032308465e-16,3.015184767505475e-64
