date,state,regime,confidence,prob_bull,prob_high-volatility,prob_low-volatility,prob_bear
2025-04-23,1,high-volatility,0.9999999890314939,8.094190012137051e-41,0.9999999890314939,1.0968476339950124e-08,0.0
2025-04-24,1,high-volatility,0.9999999813983325,6.412479254572397e-37,0.9999999813983325,1.8601738814003052e-08,0.0
2025-04-25,1,high-volatility,0.9999998311998439,2.4416591401113795e-31,0.9999998311998439,1.68800134491498e-07,0.0
2025-04-26,1,high-volatility,0.9988240379650963,7.084627842390818e-23,0.9988240379650963,0.001175962034977283,0.0
2025-04-27,2,low-volatility,0.9999802000286567,1.6326050878147945e-13,1.9799971118863287e-05,0.9999802000286567,0.0
2025-04-28,2,low-volatility,0.999999997204668,2.795262567005955e-09,3.6086394303746107e-32,0.999999997204668,0.0
2025-04-29,2,low-volatility,0.99999999082047,9.17958602052614e-09,3.1382070256506533e-46,0.99999999082047,0.0
2025-04-30,2,low-volatility,1.0,2.3634507773699202e-20,7.555851492003307e-73,1.0,0.0
2025-05-01,2,low-volatility,1.0,4.953703731864864e-17,9.953245494892568e-61,1.0,0.0
2025-05-02,2,low-volatility,1.0,3.2226177732070324e-17,5.547747364344007e-50,1.0,0.0
2025-05-03,2,low-volatility,1.0,2.8474499045885007e-16,1.223277191847346e-48,1.0,0.0
2025-05-04,2,low-volatility,1.0,4.352741355848456e-16,2.5310378420550673e-46,1.0,0.0
2025-05-05,2,low-volatility,1.0,9.663303756945316e-17,4.317712108453061e-55,1.0,0.0
2025-05-06,2,low-volatility,1.0,4.803300607737306e-17,1.3499473296505713e-49,1.0,0.0
2025-05-07,2,low-volatility,1.0,6.317416490468065e-18,1.667544554390226e-25,1.0,0.0
2025-05-08,2,low-volatility,1.0,5.45359826396545e-25,8.174844286261069e-14,1.0,0.0
2025-05-09,2,low-volatility,1.0,4.607307544830303e-22,5.317719570885632e-25,1.0,0.0
2025-05-10,2,low-volatility,1.0,1.5279806865024243e-23,7.557773474988876e-24,1.0,0.0
2025-05-11,2,low-volatility,1.0,9.926488904799e-24,3.5173453818631697e-22,1.0,0.0
2025-05-12,2,low-volatility,1.0,4.8607949519351885e-24,7.32547407066023e-23,1.0,0.0
2025-05-13,2,low-volatility,1.0,1.8147808700502157e-29,2.6569421450946474e-29,1.0,0.0
2025-05-14,2,low-volatility,1.0,2.1123307088804403e-31,9.393076501583909e-30,1.0,0.0
2025-05-15,2,low-volatility,1.0,5.768279523651118e-30,3.2278775335088806e-28,1.0,0.0
2025-05-16,2,low-volatility,1.0,4.2122909767740505e-29,3.7640063744011436e-29,1.0,0.0
2025-05-17,2,low-volatility,1.0,4.0189384573943446e-29,5.107574072984428e-29,1.0,0.0
2025-05-18,2,low-volatility,1.0,7.9563534491433005e-28,4.346928909753544e-22,1.0,0.0
2025-05-19,2,low-volatility,1.0,7.71736228835281e-27,1.037210039196596e-15,1.0,0.0
2025-05-20,2,low-volatility,0.9999999999974989,2.5880639506595255e-12,2.6303921858553134e-29,0.9999999999974989,0.0
2025-05-21,2,low-volatility,0.9999999999670308,3.294251887759096e-11,1.7082042105220313e-30,0.9999999999670308,0.0
2025-05-22,2,low-volatility,0.9999999999995453,3.845980261986036e-13,9.924986150774365e-34,0.9999999999995453,0.0
