signal_threshold,rsi_overbought,rsi_oversold,accuracy,edge_pct,correct,total_tested,n_bullish,n_bearish,n_neutral,n_signals,signal_rate
0.25,65,30,0.6270270270270271,12.702702702702705,116,185,93,93,204,186,0.47692307692307695
0.2,75,25,0.6268656716417911,12.686567164179108,126,201,108,94,188,202,0.517948717948718
0.3,75,25,0.6268656716417911,12.686567164179108,126,201,108,94,188,202,0.517948717948718
0.25,75,25,0.6268656716417911,12.686567164179108,126,201,108,94,188,202,0.517948717948718
0.25,70,30,0.6263157894736842,12.631578947368416,119,190,98,93,199,191,0.4897435897435897
0.3,70,30,0.6263157894736842,12.631578947368416,119,190,98,93,199,191,0.4897435897435897
0.2,70,30,0.6263157894736842,12.631578947368416,119,190,98,93,199,191,0.4897435897435897
0.25,75,35,0.6256410256410256,12.564102564102564,122,195,108,88,194,196,0.5025641025641026
0.3,75,35,0.6256410256410256,12.564102564102564,122,195,108,88,194,196,0.5025641025641026
0.2,75,35,0.6256410256410256,12.564102564102564,122,195,108,88,194,196,0.5025641025641026
0.3,75,20,0.625615763546798,12.561576354679804,127,203,108,96,186,204,0.5230769230769231
0.25,75,20,0.625615763546798,12.561576354679804,127,203,108,96,186,204,0.5230769230769231
0.2,75,20,0.625615763546798,12.561576354679804,127,203,108,96,186,204,0.5230769230769231
0.25,65,25,0.6236559139784946,12.365591397849462,116,186,93,94,203,187,0.4794871794871795
0.3,65,25,0.6236559139784946,12.365591397849462,116,186,93,94,203,187,0.4794871794871795
0.2,65,25,0.6236559139784946,12.365591397849462,116,186,93,94,203,187,0.4794871794871795
0.2,70,25,0.6230366492146597,12.303664921465973,119,191,98,94,198,192,0.49230769230769234
0.3,70,25,0.6230366492146597,12.303664921465973,119,191,98,94,198,192,0.49230769230769234
0.25,70,25,0.6230366492146597,12.303664921465973,119,191,98,94,198,192,0.49230769230769234
0.2,65,20,0.6223404255319149,12.234042553191493,117,188,93,96,201,189,0.4846153846153846
0.25,65,20,0.6223404255319149,12.234042553191493,117,188,93,96,201,189,0.4846153846153846
0.3,65,20,0.6223404255319149,12.234042553191493,117,188,93,96,201,189,0.4846153846153846
0.2,65,35,0.6222222222222222,12.222222222222223,112,180,93,88,209,181,0.4641025641025641
0.3,65,35,0.6222222222222222,12.222222222222223,112,180,93,88,209,181,0.4641025641025641
0.25,65,35,0.6222222222222222,12.222222222222223,112,180,93,88,209,181,0.4641025641025641
0.4,80,30,0.622093023255814,12.209302325581394,107,172,97,76,217,173,0.44358974358974357
0.35,80,30,0.622093023255814,12.209302325581394,107,172,97,76,217,173,0.44358974358974357
0.25,70,20,0.6217616580310881,12.176165803108807,120,193,98,96,196,194,0.49743589743589745
0.3,70,20,0.6217616580310881,12.176165803108807,120,193,98,96,196,194,0.49743589743589745
0.2,70,20,0.6217616580310881,12.176165803108807,120,193,98,96,196,194,0.49743589743589745
0.25,70,35,0.6216216216216216,12.16216216216216,115,185,98,88,204,186,0.47692307692307695
0.3,70,35,0.6216216216216216,12.16216216216216,115,185,98,88,204,186,0.47692307692307695
0.2,70,35,0.6216216216216216,12.16216216216216,115,185,98,88,204,186,0.47692307692307695
0.4,80,25,0.6184971098265896,11.849710982658957,107,173,97,77,216,174,0.4461538461538462
0.35,80,25,0.6184971098265896,11.849710982658957,107,173,97,77,216,174,0.4461538461538462
0.4,80,20,0.6171428571428571,11.71428571428571,108,175,97,79,214,176,0.4512820512820513
0.35,80,20,0.6171428571428571,11.71428571428571,108,175,97,79,214,176,0.4512820512820513
0.35,80,35,0.6167664670658682,11.676646706586824,103,167,97,71,222,168,0.4307692307692308
0.4,80,35,0.6167664670658682,11.676646706586824,103,167,97,71,222,168,0.4307692307692308
0.3,80,30,0.6129032258064516,11.290322580645162,133,217,125,93,172,218,0.558974358974359
0.25,80,30,0.6129032258064516,11.290322580645162,133,217,125,93,172,218,0.558974358974359
0.2,80,30,0.6129032258064516,11.290322580645162,133,217,125,93,172,218,0.558974358974359
0.25,80,25,0.6100917431192661,11.009174311926607,133,218,125,94,171,219,0.5615384615384615
0.2,80,25,0.6100917431192661,11.009174311926607,133,218,125,94,171,219,0.5615384615384615
0.3,80,25,0.6100917431192661,11.009174311926607,133,218,125,94,171,219,0.5615384615384615
0.2,80,20,0.6090909090909091,10.909090909090914,134,220,125,96,169,221,0.5666666666666667
0.25,80,20,0.6090909090909091,10.909090909090914,134,220,125,96,169,221,0.5666666666666667
0.3,80,20,0.6090909090909091,10.909090909090914,134,220,125,96,169,221,0.5666666666666667
0.3,80,35,0.6084905660377359,10.849056603773588,129,212,125,88,177,213,0.5461538461538461
0.25,80,35,0.6084905660377359,10.849056603773588,129,212,125,88,177,213,0.5461538461538461
0.2,80,35,0.6084905660377359,10.849056603773588,129,212,125,88,177,213,0.5461538461538461
0.15,75,30,0.5912698412698413,9.126984126984128,149,252,137,116,137,253,0.6487179487179487
0.1,75,30,0.5912698412698413,9.126984126984128,149,252,137,116,137,253,0.6487179487179487
0.15,75,35,0.5894308943089431,8.943089430894313,145,246,137,110,143,247,0.6333333333333333
0.1,75,35,0.5894308943089431,8.943089430894313,145,246,137,110,143,247,0.6333333333333333
0.1,75,25,0.5889328063241107,8.893280632411072,149,253,137,117,136,254,0.6512820512820513
