signal_threshold,rsi_overbought,rsi_oversold,accuracy,edge_pct,correct,total_tested,n_bullish,n_bearish,n_neutral,n_signals,signal_rate
0.25,70,25,0.3655913978494624,-13.440860215053762,68,186,186,0,144,186,0.5636363636363636
0.25,70,30,0.3655913978494624,-13.440860215053762,68,186,186,0,144,186,0.5636363636363636
0.4,70,30,0.36423841059602646,-13.576158940397354,55,151,151,0,179,151,0.4575757575757576
0.4,70,35,0.36423841059602646,-13.576158940397354,55,151,151,0,179,151,0.4575757575757576
0.4,70,25,0.36423841059602646,-13.576158940397354,55,151,151,0,179,151,0.4575757575757576
0.4,70,20,0.36423841059602646,-13.576158940397354,55,151,151,0,179,151,0.4575757575757576
0.1,70,35,0.3640552995391705,-13.594470046082952,79,217,214,3,113,217,0.6575757575757576
0.3,70,35,0.36,-14.000000000000002,63,175,175,0,155,175,0.5303030303030303
0.3,70,30,0.36,-14.000000000000002,63,175,175,0,155,175,0.5303030303030303
0.3,70,25,0.36,-14.000000000000002,63,175,175,0,155,175,0.5303030303030303
0.3,70,20,0.36,-14.000000000000002,63,175,175,0,155,175,0.5303030303030303
0.35,70,35,0.3597560975609756,-14.02439024390244,59,164,164,0,166,164,0.49696969696969695
0.35,70,25,0.3597560975609756,-14.02439024390244,59,164,164,0,166,164,0.49696969696969695
0.35,70,30,0.3597560975609756,-14.02439024390244,59,164,164,0,166,164,0.49696969696969695
0.35,70,20,0.3597560975609756,-14.02439024390244,59,164,164,0,166,164,0.49696969696969695
