Asset,AssetID,Horizons,N_Horizons,Threshold,Sharpe,Return,WinRate,DA,Trades
Bitcoin,1860,D1+D13,2,0.1,0.071,-0.37,58.8,58.8,34
Bitcoin,1860,D1+D3+D13,3,0.1,0.059,-0.43,60.0,60.0,30
Bitcoin,1860,D5+D10+D13,3,0.05,0.018,-0.91,53.6,53.6,56
Bitcoin,1860,D3+D5+D10+D13,4,0.1,-0.045,-0.94,59.0,59.0,39
Bitcoin,1860,D3+D8+D13,3,0.1,-0.045,-0.94,59.0,59.0,39
Bitcoin,1860,D3+D13,2,0.1,-0.045,-0.94,59.0,59.0,39
Bitcoin,1860,D10+D13,2,0.1,-0.06,-1.47,50.8,50.8,59
Bitcoin,1860,D3+D5+D8+D10,4,0.05,-0.08,-3.16,55.0,55.0,109
Bitcoin,1860,D3+D10,2,0.05,-0.101,-3.45,54.5,54.5,110
Bitcoin,1860,D1+D8+D10+D13,4,0.05,-0.122,-1.82,51.9,51.9,54
Bitcoin,1860,D1+D5+D8+D13,4,0.1,-0.212,-1.45,59.4,59.4,32
Bitcoin,1860,D8+D13,2,0.05,-0.235,-3.01,51.6,51.6,64
Bitcoin,1860,D1+D5+D8+D10,4,0.05,-0.276,-5.29,57.0,57.0,93
Bitcoin,1860,D3+D5+D8,3,0.05,-0.288,-5.72,58.8,58.8,97
Bitcoin,1860,D3+D8,2,0.05,-0.32,-6.2,57.4,57.4,101
Bitcoin,1860,D1+D8+D10,3,0.05,-0.343,-5.67,56.7,56.7,90
Bitcoin,1860,D5+D8+D13,3,0.1,-0.364,-2.46,57.9,57.9,38
Bitcoin,1860,D3+D5+D10,3,0.1,-0.384,-4.09,56.1,56.1,57
Bitcoin,1860,D1+D3+D8+D13,4,0.1,-0.428,-2.23,60.0,60.0,30
Bitcoin,1860,D3+D5,2,0.1,-0.447,-5.99,49.3,49.3,75
Bitcoin,1860,D1+D3+D8,3,0.05,-0.469,-6.63,54.7,54.7,86
Bitcoin,1860,D1+D3,2,0.1,-0.476,-6.36,51.9,51.9,77
Bitcoin,1860,D1+D5,2,0.1,-0.489,-3.67,52.5,52.5,40
Bitcoin,1860,D1+D3+D5,3,0.1,-0.489,-3.67,52.5,52.5,40
Bitcoin,1860,D3+D5+D13,3,0.1,-0.496,-3.11,53.7,53.7,41
Bitcoin,1860,D1+D3,2,0.05,-0.557,-11.07,50.4,50.4,123
Bitcoin,1860,D1+D8,2,0.05,-0.589,-7.86,55.1,55.1,89
Bitcoin,1860,D1+D5+D8,3,0.05,-0.605,-8.16,54.3,54.3,92
Bitcoin,1860,D8+D10,2,0.1,-0.763,-8.8,50.0,50.0,76
Bitcoin,1860,D10+D13,2,0.05,-0.83,-7.73,48.5,48.5,68
Bitcoin,1860,D8+D10,2,0.05,-0.865,-13.06,48.2,48.2,112
Bitcoin,1860,D3+D8+D10,3,0.1,-0.983,-8.39,53.8,53.8,52
Bitcoin,1860,D5+D10+D13,3,0.3,-1.036,-0.55,66.7,66.7,6
