signal_threshold,rsi_overbought,rsi_oversold,accuracy,edge_pct,correct,total_tested,n_bullish,n_bearish,n_neutral,n_signals,signal_rate
0.15,80,30,0.4196078431372549,-8.03921568627451,107,255,237,20,74,257,0.7764350453172205
0.2,80,30,0.4196078431372549,-8.03921568627451,107,255,237,20,74,257,0.7764350453172205
0.2,80,20,0.41923076923076924,-8.076923076923077,109,260,237,25,69,262,0.7915407854984894
0.15,80,20,0.41923076923076924,-8.076923076923077,109,260,237,25,69,262,0.7915407854984894
0.2,80,25,0.416988416988417,-8.301158301158301,108,259,237,24,70,261,0.7885196374622356
0.1,80,35,0.416988416988417,-8.301158301158301,108,259,242,19,70,261,0.7885196374622356
0.15,80,25,0.416988416988417,-8.301158301158301,108,259,237,24,70,261,0.7885196374622356
0.25,80,30,0.4132231404958678,-8.677685950413222,100,242,230,14,87,244,0.7371601208459214
0.25,80,20,0.4122448979591837,-8.775510204081632,101,245,230,17,84,247,0.7462235649546828
0.25,80,25,0.4122448979591837,-8.775510204081632,101,245,230,17,84,247,0.7462235649546828
0.15,80,35,0.408,-9.200000000000003,102,250,237,15,79,252,0.7613293051359517
0.2,80,35,0.408,-9.200000000000003,102,250,237,15,79,252,0.7613293051359517
0.25,80,35,0.40585774058577406,-9.414225941422593,97,239,230,11,90,241,0.7280966767371602
0.4,80,30,0.4029126213592233,-9.708737864077671,83,206,202,6,123,208,0.6283987915407855
0.4,80,20,0.40096618357487923,-9.903381642512077,83,207,202,7,122,209,0.6314199395770392
0.4,80,25,0.40096618357487923,-9.903381642512077,83,207,202,7,122,209,0.6314199395770392
0.35,80,30,0.4,-9.999999999999998,90,225,218,9,104,227,0.6858006042296072
0.3,80,30,0.4,-9.999999999999998,90,225,218,9,104,227,0.6858006042296072
0.35,80,25,0.3991228070175439,-10.087719298245613,91,228,218,12,101,230,0.6948640483383686
0.35,80,20,0.3991228070175439,-10.087719298245613,91,228,218,12,101,230,0.6948640483383686
0.3,80,25,0.3991228070175439,-10.087719298245613,91,228,218,12,101,230,0.6948640483383686
0.3,80,20,0.3991228070175439,-10.087719298245613,91,228,218,12,101,230,0.6948640483383686
0.4,80,35,0.39705882352941174,-10.294117647058826,81,204,202,4,125,206,0.622356495468278
0.35,80,35,0.39461883408071746,-10.538116591928254,88,223,218,7,106,225,0.6797583081570997
0.3,80,35,0.39461883408071746,-10.538116591928254,88,223,218,7,106,225,0.6797583081570997
